label	x1	x2	x3	doubled	input	d1	d2	d3	norm_only1	norm_only2	norm_only3	j1	j2	j3	elapsed_ms
x1	1	0	0	0	1	0	1	2	0	1	2	0	0	0	88
x1	1	0	0	0	2	0	1	1	0	2	1	0	2	0	89
x1	1	0	0	0	3	0	1	1	0	1	2	0	0	2	72
x1	2	0	0	1	1	0	1	2	0	1	2	0	0	0	90
x1	2	0	0	1	2	0	1	1	0	2	1	0	2	0	77
x1	2	0	0	1	3	0	1	1	0	1	2	0	0	2	76
x2	0	1	0	0	1	0	0	1	0	0	1	0	0	0	86
x2	0	1	0	0	2	1	2	2	1	0	2	0	2	0	67
x2	0	1	0	0	3	0	0	2	0	0	0	0	0	2	61
x2	0	2	0	1	1	0	0	1	0	0	1	0	0	0	85
x2	0	2	0	1	2	1	2	2	1	0	2	0	2	0	62
x2	0	2	0	1	3	0	0	2	0	0	0	0	0	2	62
x3	0	0	1	0	1	0	1	0	0	1	0	0	0	0	63
x3	0	0	1	0	2	0	0	0	0	1	0	0	2	0	64
x3	0	0	1	0	3	2	1	2	2	1	0	0	0	2	55
x3	0	0	2	1	1	0	1	0	0	1	0	0	0	0	54
x3	0	0	2	1	2	0	0	0	0	1	0	0	2	0	61
x3	0	0	2	1	3	2	1	2	2	1	0	0	0	2	60
x1+x2+x3	1	1	1	0	1	1	2	0	1	2	0	0	0	0	86
x1+x2+x3	1	1	1	0	2	1	1	0	1	2	0	0	2	0	87
x1+x2+x3	1	1	1	0	3	0	1	1	0	1	2	0	0	2	82
x1+x2+x3	2	2	2	1	1	1	2	0	1	2	0	0	0	0	86
x1+x2+x3	2	2	2	1	2	1	1	0	1	2	0	0	2	0	87
x1+x2+x3	2	2	2	1	3	0	1	1	0	1	2	0	0	2	84
x1+x2	1	1	0	0	1	2	1	1	2	1	1	0	0	0	63
x1+x2	1	1	0	0	2	0	2	0	0	0	0	0	2	0	70
x1+x2	1	1	0	0	3	2	1	2	2	1	0	0	0	2	74
x1+x2	2	2	0	1	1	2	1	1	2	1	1	0	0	0	60
x1+x2	2	2	0	1	2	0	2	0	0	0	0	0	2	0	70
x1+x2	2	2	0	1	3	2	1	2	2	1	0	0	0	2	78
x1+x3	1	0	1	0	1	1	0	2	1	0	2	0	0	0	66
x1+x3	1	0	1	0	2	2	2	1	2	0	1	0	2	0	75
x1+x3	1	0	1	0	3	1	0	1	1	0	2	0	0	2	73
x1+x3	2	0	2	1	1	1	0	2	1	0	2	0	0	0	58
x1+x3	2	0	2	1	2	2	2	1	2	0	1	0	2	0	76
x1+x3	2	0	2	1	3	1	0	1	1	0	2	0	0	2	76
